"exp_index","subject","block","accuracy","probability_10","observer","outcome","evaluation"
"exp1",10,"actor",0.8,100,NA,NA,NA
"exp1",10,"actor",0.9,100,NA,NA,NA
"exp1",10,"actor",1,100,NA,NA,NA
"exp1",11,"actor",0,100,NA,NA,NA
"exp1",11,"actor",0.1,77,NA,NA,NA
"exp1",11,"actor",0.2,78,NA,NA,NA
"exp1",11,"actor",0.3,77,NA,NA,NA
"exp1",11,"actor",0.4,35,NA,NA,NA
"exp1",11,"actor",0.5,28,NA,NA,NA
"exp1",11,"actor",0.6,32,NA,NA,NA
"exp1",11,"actor",0.7,25,NA,NA,NA
"exp1",11,"actor",0.8,77,NA,NA,NA
"exp1",11,"actor",0.9,82,NA,NA,NA
"exp1",11,"actor",1,82,NA,NA,NA
"exp1",12,"actor",0,21,NA,NA,NA
"exp1",12,"actor",0.1,3,NA,NA,NA
"exp1",12,"actor",0.2,25,NA,NA,NA
"exp1",12,"actor",0.3,15,NA,NA,NA
"exp1",12,"actor",0.4,33,NA,NA,NA
"exp1",12,"actor",0.5,37,NA,NA,NA
"exp1",12,"actor",0.6,19,NA,NA,NA
"exp1",12,"actor",0.7,27,NA,NA,NA
"exp1",12,"actor",0.8,28,NA,NA,NA
"exp1",12,"actor",0.9,24,NA,NA,NA
"exp1",12,"actor",1,40,NA,NA,NA
"exp1",13,"actor",0,78,NA,NA,NA
"exp1",13,"actor",0.1,78,NA,NA,NA
"exp1",13,"actor",0.2,66,NA,NA,NA
"exp1",13,"actor",0.3,73,NA,NA,NA
"exp1",13,"actor",0.4,28,NA,NA,NA
"exp1",13,"actor",0.5,22,NA,NA,NA
"exp1",13,"actor",0.6,26,NA,NA,NA
"exp1",13,"actor",0.7,20,NA,NA,NA
"exp1",13,"actor",0.8,100,NA,NA,NA
"exp1",13,"actor",0.9,100,NA,NA,NA
"exp1",13,"actor",1,100,NA,NA,NA
"exp1",14,"actor",0,100,NA,NA,NA
"exp1",14,"actor",0.1,100,NA,NA,NA
"exp1",14,"actor",0.2,100,NA,NA,NA
"exp1",14,"actor",0.3,100,NA,NA,NA
