"model","alpha","beta","exp1_inverse_temp","exp2_inverse_temp"
"self-deception",1.11989418611033,1.28153605253211,0.12746572965794,1.42095845302418
"hide-incompetence",1.96291509414575,14.2158203975417,0.00297748605664846,0.030582586173179
